Category,Name,County,Town,Address,Phone,Hours Of Operation,Operational Notes:,Web Link,Additional Web Link,OpenMaine Changes,Latitude,Longitude,latitude,longitude
Meal Sites,Everybody Eats- Free Community Meal,Hancock,Ellsworth,"125 State Street
 Ellsworth ME 04605",(207)664-3568,"Every Monday, 3:00 PM - 5:30 PM.","Starting 4/6, moving location across street to the Moore Community Center; take-out meals only. 
 ""When you go up the driveway of the Moore Center, take an immediate right and drive around to the back door of the kitchen. We will distribute our takeout meals from that location.""",https://www.facebook.com/Everybody-Eats-A-Free-Community-Meal-568143769902367/,,,,,44.54654476245004,-68.42589375691104
Food Pantry,Fairfield Interfaith Food Pantry,Somerset,Fairfield,"23 Lawrence Avenue
 Fairfield ME 04937",(207)317-0801,"1st and 3rd Thursdays of the month, 9:00 AM - 12:00 PM.",Drive-thru model. The minister is bringing the order sheet from the client's vehicle to the volunteers inside where the order is packed and then loaded into the vehicle.,https://www.facebook.com/FairfieldFoodPantry23,,,,,44.587772780454785,-69.59617346655892
Food Pantry,Faith Christian Center Food Pantry,York,Limerick,"143 Washington St
 Limerick ME 04048",(207)582-5432,"Wednesdays, 6:00 PM - 7:00 PM",Created appointments to minimize community members’ contact with one another. Pre-packed boxes available. Limited number in pantry to 3 at a time.,https://www.facebook.com/faithchristiancenterinc/,,,,,43.69629599999999,-70.7876325
Food Pantry,Faith Food Pantry,Kennebec,Gardiner,"280 Brunswick Avenue
 Gardiner ME 04345",(207)781-2996,"1st, 2nd and 3rd Fridays of the month from 12:00 PM - 2:30 PM, and 4th Saturday of the month from 9:00 AM - 11:00 AM. If 5th Friday, 12: 00 PM - 2:30 PM. Open for emergencies. Will deliver to people without transportation.",Limiting the amount of clients that can enter at a time. Providing delivery for clients that request it.,https://www.facebook.com/FCCFoodPantry/,,,,,44.21826899999999,-69.77960999999999
Food Pantry,Falmouth Food Pantry,Cumberland,Falmouth,"271 Falmouth Rd
 Falmouth ME 04105",(207)627-4282,"Tuesday, May 12th and May 19th from 9:30am - 10:30 AM at the Falmouth Elementary School- 58 Woodville Rd in Falmouth",Drive thru model with pre-packed boxes.,https://www.falmouthme.org/town-clerk/events/85194,,,,,43.73353358621364,-70.27991326585516
Food Pantry,Family Food Pantry - Carmel,Penobscot,Carmel,"87 Damascus Road
 Carmel ME 04419",(603)398-2580,2nd and last Saturday of the month from 9:00 AM - 10:30 AM. Will serve anyone attending.,"Drive-thru model with pre-packed boxes. 
 Established a “proxy” pick-up where neighbors/family members can pick up for others.",https://carmelcrossing.org/food-pantry/,,,,,44.80657970049945,-69.06526245099887
Food Pantry,Fayette Baptist Church,Kennebec,Fayette,"39 Baldwin Hill Rd
 Fayette ME 04349",(207) 685-9492,"Respond to calls, as needed. Open Thursdays from 1:00 PM - 6:00 PM.",Drive-thru model,http://fayettebaptistchurch.org/,,,,,44.42370048433252,-70.07504522352727
Food Pantry,First Assembly of God - Portland,Cumberland,Portland,"243 Cumberland Ave
 Portland ME 04101",(207)774-2415,"Saturdays, 2:00 PM - 4:00 PM.",Pre-packed boxes with an outside grab-and-go model.,https://www.firstassemblyportland.com/?__cf_chl_jschl_tk__=35037c0a3434a95f388e003f8e849a9f481cf2dc-1584731298-0-AddihOVCQINA2n3wLnh70-4gHQqL4ntFE4ykPVNzz9I3Th32SYWXhU44Ha2BZ6Jr0QovZYVrJdq4KjktXKYMLxb9afourIY7Z7LZGeq0pI316fZRx8i7DPXZ_joTAA7cTuIi1vpW7EZ_Fp-f5h6r3cktgUbfRG5syKUdEfIwwM6-ct8v5v8u-vNNxLy-m5uwZfCsp_yZX8PFVAmpK9Ad3HBTQxLgGM-QJo3sW_UfASPJ-2ASeYOgUMo3Pt9xTXHuf90XhWV9lWB1z7dnu6dqXI0,,,,,43.660480420220345,-70.25734236248478
Food Pantry,First Baptist Church Food Pantry,Kennebec,Mt. Vernon,"321 Pond Rd
 Mt Vernon ME 04352",(207) 293-2141,"Saturdays, 10:00 AM - 12:00 PM. Always on call.","Established a “proxy” pick-up where neighbors/family members can pick up for others.
 Drive-thru model",https://www.readfieldmaine.org/business-directory/mt-vernon-food-bank-services-readfield-residents,,,,,44.503236000000015,-69.988401
Food Pantry,First Cong'l - New Gloucester,Cumberland,New Gloucester,"19 Gloucester Hill Rd
 New Gloucester ME 04260",(207)926-3260,"2nd and 4th Saturdays of the month, 8:00 AM - 9:30 AM.","Partial pre-packed box, partial shopping.",https://www.ngucc.org/2018/09/02/new-gloucesters-community-food-pantry/,,,,,43.96183415600997,-70.2826753069996
Food Pantry,First Congregational East Baldwin Food Pantry,Cumberland,East Baldwin,"26 School Street
 East Baldwin ME 04024",(207)657-2360,"Tuesdays, 9:30 AM - 10:15 AM.",Pre-packed box with a drive thru model.,https://www.facebook.com/events/east-baldwin-congregational-church-east-baldwin/food-pantry/591577581286043/,https://eastbaldwincc.org/,,,,43.80316449443629,-70.68179608210592
Food Pantry,Footprints Food Pantry,York,Kittery,"37 Old Post Rd
 Kittery ME 03904",(207)439-4673,Tuesday 5:30 PM - 6:30 PM and Wednesday 9:00 AM - 1:00 PM.,Drive-thru model with pre-packed bags. Will not turn anyone away from any town. They have asked thier older volunteers to stay home during this time.,https://www.footprintsfoodpantry.org/,,,,,43.09290811907778,-70.75260391271851
Food Pantry,Freeport Community Services,Cumberland,Freeport,"53 Depot St
 Freeport ME 04032",(207)865-3985 ext. 205,Monday and Wednesday from 11:00 AM - 1:00 PM.,Patrons can pick-up a pre-packed box from their loading dock.,https://www.facebook.com/FreeportCommunityServices/,http://www.fcsmaine.org/,,,,43.85451501690824,-70.10477461613492
Food Pantry,Friends Helping Friends - Easton Branch,Aroostook,Easton,"23 Station Rd
 Easton ME 04740",(207)227-3589,"By appointment, please call.",Limiting one family into the pantry at a time to support social distancing.,https://www.facebook.com/Friends-Helping-Friends-Easton-Food-Panty-1220298374681357/,,,,,46.64309989869582,-67.91245027171219
Food Pantry,Friendship - Cushing Food Pantry,Knox,Cushing,"School House Street
 (Old Town Library)
 Cushing ME 04563",(207)354-0669,"2nd and 3rd Saturday, 9:00 AM -11:00 AM.","Pre-packed boxes, curbside delivery. If additional food is needed when we are not open call Town Hall (207) 354-2375 and someone will assist you.",https://www.facebook.com/events/258518881827481/,,,,,43.96104800000006,-69.29990499999997
Food Pantry,Fryeburg First Assembly Food Pantry,Oxford,Fryeburg,"Drift Road
 Fryeburg ME 04037",,Thursdays 4:00 PM - 6:00 PM.,,https://www.facebook.com/FryeburgAG/,,,,,44.01584067189573,-70.98374263202665
Meal Sites,FUMC - Community Meal - Bangor,Penobscot,Bangor,"703 Essex Street
 Bangor ME 04401",(207)945-9567,Thursdays 4:00 PM - 6:00 PM.,Temporarily Suspended Operations; Senior boxes still distributed by EAAA in the parking lot.,,,,,,44.824895999999995,-68.769099
Food Pantry,Gateway Food Bank,Penobscot,Newport,"363 Moosehead Trl 
 Newport ME 04953",(207)512-5119,"Tuesdays from 10:00 AM - 5:00 PM, by appointment. Fridays from 10:30 AM - 12:00 PM.","On Fridays, park in front and 5 people go to back to be loaded. Call (207)512-5119 on Tuesdays to fill up appointment times.",https://www.facebook.com/gatewaypentecostalchurch/,,,,,44.85841879100175,-69.28409663183194
Food Pantry,GIFT (Grace Interfaith Food Table),Aroostook,Presque Isle,"11 Industrial St
 Presque Isle ME 04769",(207)764-8584,Wednesdays 9:00 AM - 12:00 PM.,Drive-thru model,,,,,,46.68209809270583,-68.02342750747316
Food Pantry,Gorham Ecumenical Food Pantry,Cumberland,Gorham,"299 B Main St
 Gorham ME 04038",(207)222-4351,"Thursdays from 10:00 AM - 12:00 PM. Wednesday evening distribution temporarily suspended- 2nd and 4th Wednesday from 6:00 PM - 7:00 PM. NEW: Monday, June 8th & Monday, June 22nd from 6pm to 7pm.",Curbside/drive-thru model with reduced staff.,https://www.facebook.com/Gorham-Food-Pantry-Friends-121781881213371/,https://gorhamfoodpantry.org/,,,,43.68468638020108,-70.4263005740955
Food Pantry,GRAMPA Food Pantry,Oxford,Mexico,"163 Main St
 Mexico ME 04257",(207)364-8185,Friday and Saturday from 9:00 AM - 11:00 AM.,Open Fridays and Saturdays at this time. Food will be distributed in their Parking lot.,https://m.facebook.com/Grampa-Food-Pantry-203282223399130/,,,,,44.555357325841065,-70.53982349333491
Food Pantry,Gray Community Food Pantry,Cumberland,Gray,"5 Brown Street
 Gray ME 04039",(207)657-4279 ext. 3,1st and 3rd Fridays of the month from 12:30 PM - 3 PM,Parking lot distribution with pre-packed boxes.,https://www.facebook.com/grayfirst/,,,,,43.88585737220832,-70.32865988259566
Food Pantry,Greater Bay Area Ministerium,Waldo,Belfast,"23 Mill Lane
 Belfast ME 04915",(207)218-1213,2nd and 4th Fridays from 9:00 AM - 11:30 AM.,"Drive-thru model with pre-packed boxes. 
 Established a “proxy” pick-up where neighbors/family members can pick up for others.",https://www.facebook.com/pages/category/Local-Service/Greater-Bay-Area-Ministerium-Food-Cupboard-804339259943673/,,,,,44.436516013878474,-68.99769418122807
Food Pantry,Greater Fort Kent Ecumenical Food Pantry,Aroostook,Fort Kent,"229 West Main Street Suite 103
 Fort Kent ME 04743",(207)834-4126,"1st, 3rd and 5th Wednesdays from 5:00 PM - 6:00 PM. 2nd and 4th Wednesdays from 9:00 AM - 10:00 AM.","Interviews conducted over the phone, food is dropped off at individual homes.",https://www.facebook.com/pages/Greater-Ft-Kt-Ecumenical-Food-Pantry/155305204506512,,,,,47.24950471663105,-68.59971167583237
Food Pantry,Greater Waterville Area Food Pantry,Kennebec,Waterville,"61 Pleasant St
 Waterville ME 04901",(207)946-2121,"Open Monday - Thursday from 9:00 AM - 11:00 AM, Mondays from 5:30 PM - 7:00 PM. Serves Waterville.",Pre-packed boxes available. All volunteers are wearing gloves while packing the boxes and they are then bringing the boxes out to a table and then the clients take them. The table is then cleaned with Clorox and air-dried. The process is then repeated for the next client.,https://www.facebook.com/WatervilleFoodBank/,,,,,44.55284166443542,-69.63451967081205
Food Pantry,Greene Baptist Church Food Pantry,Androscoggin,Greene,"108 Main St
 Greene ME 04236",(207)212-3452,1st and 3rd Thursday of the month from 1:00 PM - 3:00 PM.,Community members cannot enter the building. Pre-packed boxes are available.,https://www.facebook.com/The-Baptist-Church-of-Greene-437458323709209/?__tn__=%2Cd%3C-R&eid=ARCT8M--ihm08Yi_sWD1lrRRBHUOG93BD02nV13BD0P2JPG59ChCn5znHL5ZyRKpOOIvRXi9dlqWMp-m,,,,,44.18952933833454,-70.14240894754457
Food Pantry,H.O.M.E. Co-Op Food Pantry and Meal Site,Hancock,Orland,"90 Schoolhouse Rd
 Orland ME 04472",(207)469-7961,"Monday - Friday, 9:00 AM - 3:30 PM. Pre-assembled boxes of groceries distributed outside. Delivery available if necessary. No lunchtime meal until further notice.","Temporarily suspended daily hot lunch program but continuing to distribute food boxes. Created appointments to minimize community members’ contact with one another. Pre-packed boxes available.
 Established a “proxy” pick-up where neighbors/family members can pick up for others.",https://www.facebook.com/HOMEINC1970/?ref=br_rs,,,,,44.573003737722864,-68.73226630045006
Food Pantry,Hallowell Food Bank Inc,Kennebec,Hallowell,"6 Pearley's Lane
 Hallowell ME 04347",(207)992-6899,Open on Fridays from 1:00 PM - 2:00 PM.,Weekly drive-thru model. Services expanded to whoever needs food. Established a “proxy” pick-up where neighbors/family members can pick up for others and expanded hours to spread out the number of people on site at once.,https://www.facebook.com/HallowellFoodBank/,,,,,44.28520401058268,-69.79066162995943
Food Pantry,Hampden Neighborhood Food Cupboard,Penobscot,Hampden,"101 Main Rd. North
 Hampden ME 04444",(207)862-5248,Wednesdays from 9:30 AM - 11:00 AM and 4:30 PM - 6:00 PM. Available for emergencies.,"Created appointments to minimize community members’ contact with one another. Drive-thru model with pre-packed boxes.
 Established a “proxy” pick-up where neighbors/family members can pick up for others. Expanded our hours to spread out the number of people at our site at once.",https://www.facebook.com/Hampden-Neighborhood-Food-Cupboard-371494522972074/,,,,,44.74669272716263,-68.83633649748984
Food Pantry,Harmony Cares Food Pantry,Somerset,Harmony,"1 Fairway Ln, 
 Harmony ME 04942",(207) 249-1676,"1st and 3rd Saturday, 2nd and 4th Wednesday of the month.",Only allowing one client in the building at a time. Clients will be telling them what they want so they don't need to touch anything and they'll be offering pre-boxed as an option as well. Established a “proxy” pick-up where neighbors/family members can pick up for others.,https://www.facebook.com/HarmonyCares2/posts/3391359630891115?__tn__=K-R,,,,,44.97829200000001,-69.547257
Food Pantry,Harrison Food Bank,Cumberland,Harrison,"176 Waterford Rd
 Harrison ME 04040",(207)647-3384,Tuesdays 9:00 AM - 6:00 PM.,Pre-packed boxes with drive-thru model.,https://www.facebook.com/pages/category/Community/Harrison-Food-Bank-of-Harrison-Maine-1364330120260929/,https://www.harrisonfoodbank.com/,,,,44.12291161143174,-70.69208698043738
Food Pantry,Hartford Food Bank,Oxford,Hartford,"1196 Main St.
 Hartford ME 04221",,1st Monday of each month 9:00 AM - 10:30 AM.,,https://www.facebook.com/townofhartfordmaine/?__tn__=%2Cd%2CP-R&eid=ARCGpcBmzd4S3AYVRF1m893mFyX000lGX3KGGGO7haOXwzkBe-zkz6_EXis2Uapva70R_6Ad0wZl4Bqo,,,,,44.375607586733224,-70.34723307034459
Food Pantry,High Street Cong'l Church Food Pantry,Androscoggin,Auburn,"106 Pleasant St
 Auburn ME 04210",(207)784-1306,Thursdays 8:30 AM - 11:00 AM,Thursdays 8:30 AM - 11:00 AM ; They will be practicing social distancing by having curbside pick ups and prepackaged boxes,https://www.highstreet-ucc.org/food-pantry/,,,,,44.09638090117734,-70.22836120422447
Food Pantry,Hollis Center Church Food Pantry,York,Hollis Center,"388 Hollis Rd
 Hollis Center ME 04042",(207)929-4711,Thursday from 10:00 AM - 11:00 AM.,Taking orders over the phone as usual and leaving produce outside for people to shop as usual. They are limiting their contact by not allowing clients in the building and only allowing limited people to be shopping at the produce outside.,https://holliscenterchurch.org/ministries,,,,,43.601990810087614,-70.59049257077729
Shelter,Hope Haven Gospel Mission,Androscoggin,Lewiston,"209 Lincoln Street, Lewiston ME 04240",(207)783-6086,"Food Pantry: Monday, Wednesday, and Friday from 10:00 AM - 11:45 AM Soup Kitchen : All meals pre-packaged to-go M-F Lunch : 12:00 PM - 1:00 PM M-S Dinner : 4:30 PM - 5:30 PM Sunday Lunch and Dinner : 2:30 PM - 3:30 PM",Clothing Closet is closed. Offering to-go meals and pre-packed boxes through the pantry door.,https://www.facebook.com/HopeHavenGospelMission/,https://www.hopehavengospelmission.org/,,,,44.09136000000001,-70.2183915
Food Pantry,Hope House Network,Androscoggin,Auburn,"91 College St
 Lewiston ME 04240",(207)577-1165,Wednesdays from 10:00 AM - 11:00 AM.,"Clothing closet is closed. Tables are set up in the yard. No one is allowed to enter the building. The clinic inside is open just for urgent care, and all shopping is now at an outdoor market. We are doing social distancing, wearing of masks, quick temp checks, and disinfecting surfaces used.",http://www.hopehousemaine.com/,,,,,44.10091944601536,-70.21125586219632
Food Pantry,Indian Township Food Pantry,Washington,Princeton,"8 Kennebasis Road
 Indian Township, ME 04668",(207)478-2494,Monday - Friday from 10:30 AM - 2:40 PM.,For Tribal Members only,,,,,,45.22671199606599,-67.57686224549498
Food Pantry,Irene Chadbourne Ecumenical Food Pantry,Washington,Calais,"513 Main St
 Calais ME 04619",(207)214-4883,Mondays from 3:00 PM - 5:00 PM. Thursdays from 10:00 AM - 12:00 PM. Fridays from 1:00 PM - 3:00 PM. Three at a time in the pantry until further notice.,,https://www.facebook.com/CalaisFoodPantry/,,,,,45.18800697224308,-67.27433342353856
Food Pantry,Jackson Food Pantry,Waldo,Jackson,"260 Village Road
 Jackson ME 04921",(207)322-9469,"Mondays, 11:15 AM -12:30 PM.","Pre-packed boxes, pre-bagged produce curbside delivery. Only volunteers allowed in building.",https://www.facebook.com/groups/219599324863413/,,,,,44.61398965797369,-69.12302272920994
Food Pantry,Jefferson Area Community Food Pantry,Lincoln,Jefferson,"72 Gardiner Rd
 Jefferson ME 04348",(207)242-6933,2nd and 4th Wednesday from 4:00 PM - 5:30 PM.,"Prepacked boxes, pre-bagged produce curbside delivery. Only volunteers allowed in building.",https://www.facebook.com/JACFPMaine/,,,,,44.200599517889174,-69.49143858090484
Food Pantry,Jewish Family Services,Cumberland,Portland,"1342 Congress St
 Portland ME 04102",(207)772-1959,Temporarily Suspended Operations.,Temporarily Suspended Operations.,https://www.facebook.com/mainejewish/,https://www.mainejewish.org/michaelklahrjewishfamilyservices/foodpantry/,,,,43.65876018896103,-70.29535850848276
Food Pantry,Jonesport Food Pantry,Washington,Jonesport,"28 Sawyer Square
 Jonesport ME 04649",(207)497-2294,Open on Wednesdays from 9:00 - 11:00 AM.,,https://www.facebook.com/pg/Sawyer-Memorial-Congregational-Church-943412085737991/about/?ref=page_internal,,,,,44.5324334304231,-67.59565037619524
Food Pantry,Kaydenz Kitchen Food Pantry,Androscoggin,Lewiston,"550 Lisbon St.
 Lewiston ME 04240",(207)577-7942,Monday - Thursday from 11:00 AM - 1:00 PM and 2:00 PM - 4:00 PM,"Prepacked boxes, pickup services based on appointment schedule.",https://www.facebook.com/kaydenzkitchen/,,,,,44.088840000000005,-70.2110115
Other,Knox County Homeless Coalition,Knox,Rockport,"169 Old County Rd.
 Rockport ME 04856",,Delivery by appointment to current clients.,Drop-off delivery to current clients.,https://www.facebook.com/search/top/?q=knox%20county%20homeless%20coalition&epa=SEARCH_BOX,,,,,44.134790677505826,-69.09876212060699
Food Pantry,Labor of Love - Garrapy Food Pantry,Washington,Eastport,"137 County Road
 Eastport ME 04631",(207)853-0812,"Fridays 2:30 - 6:30 PM. For emergencies, 3rd, 4th and 5th Tuesdays from 9:00 AM - 11:00 AM. Drive through distribution.",Drive-thru model with pre-packed boxes. Established a “proxy” pick-up where neighbors/family members can pick up for others.,https://www.facebook.com/LaborOfLoveNutritionCenter/,,,,,44.90579500000007,-66.98995499999995
Food Pantry,Leeds Food Pantry,Androscoggin,Leeds,"123 Church Hill Road
 Leeds ME 04263",(207)524-7151,1st and 3rd Thursdays from 6:00 PM - 7:00 PM. Emergency food when requested.,"Increased hours temporarily to 12:00 PM - 7:00 PM. 
 Pre-packed reusable Hannaford bags available with popular staples, quantities vary depending on family size. We have temporarily moved the Food Pantry into the church gym, arranged tables around its perimeter for some ""pick your choice options "". One family at a time comes in, sanitizes, receives the pre-packed bag, circles the room to select cereal, produce, juice, and meat options and then exits through another door.",,,,,,44.30232421039862,-70.13102574424374
Food Pantry,Liberty Area Food Pantry,Waldo,Liberty,"100 Main St
 Liberty ME 04949",(207)589-4246,3rd Saturday from 9:00 AM - 11:00 AM.,"Pre-packed Boxes, curbside delivery.",https://www.facebook.com/KatieLight1234/?__tn__=kC-R&eid=ARAHEJeMqZgP9LGOg9uOl1c4LTTLPmp8VvXfHBgqO_bu1uwZJdcy8znt3j32F0zuWk1sS69xVa9woAWD&hc_ref=ARSqSFmNTfGKAseo5zR4qEPA2GwWGFST8DVOxsogz3Ll28qll72BW_a8F06GNJSX-ow&fref=nf&__xts__[0]=68.ARAF4qkivmTK8MyTXowvF_Z0VGrlWE19G3bljFdHCPy61nkD35cwzIvm0l2rQI2xXQP83LjT9WnXJtie8QblCDBo4a7rASQh6dy90VW4Njwr67G-GZLJTRp0Uof__H2aA6H2ppZe0NtTnmbZjgsps80tlOnywAYkQDgRC0dI_LPdFXbQddhr5dIPRLHMelzs5RrmhoXh6KcYLh3CJOhYkIUKEfDEet3GLRLbN0bnYA0m668I1qpj6x0MyGxKqP-yCANlxLj7PkKvxzn5RAJP2QQR6Pl1TnNk3XZ3hjbKDSKz6UwXAmDknfMEsrsTbGCjBVIWP1PUm1Ajkftel00,,,,,44.39063113266778,-69.30432354149114
Food Pantry,Life Line Food Pantry,Hancock,Gouldsboro,"769 South Gouldsboro Road
 Gouldsboro, ME",(207)963-7972,"3rd Saturday of the month from 8:00 AM - 10:00 AM. Groceries in pre-assembled boxes, distributed from the parking lot.",,,,,,,44.430439751682286,-68.10943694139989
Food Pantry,Lighthouse COG Bread of Life,Penobscot,Orrington,"696 River Rd
 Orrington ME 04474",(207)735-8336,"1st and 3rd Saturdays from 9:00 AM - 10:00 AM. If additional assistance needed, please call (207)735-8336.",Drive-thru model with pre-packed boxes,https://www.facebook.com/Orrington-Lighthouse-Church-of-God-207242739299558/,,,,,44.7299699933349,-68.82732775004345
Food Pantry,Limington Orth. Pres. Church FP,York,Limington,"302 Sokokis Ave
 Limington ME 04049",(207)415-0151,By appointment only- open 2nd Saturday of the month.,Pre-packed boxes -still by appointment,https://lopcreformed.org/food-pantry/food-pantry/,,,,,43.731794292832696,-70.70858917208147
Meal Sites,Lincoln FUMC Community Meals Program,Penobscot,Lincoln,"8 Lee Road
 Lincoln ME 04457",(207)794-8443,Wednesdays from 3:00 PM - 6:00 PM.,Temporarily Suspended Operations.,,,,,,45.365553000000006,-68.50298699999999
Food Pantry,Lincoln Regional Food Cupboard,Penobscot,Lincoln,"32 Park Avenue
 Lincoln ME 04457",(207)794-3784,Wednesdays from 9:00 AM - 11:00 AM.,Drive-thru model with pre-packed boxes,,,,,,45.36555825033191,-68.52689064308379
Food Pantry,Lisbon Area Christian Outreach,Androscoggin,Lisbon Falls,"16 School St
 Lisbon Falls ME 04252",(207)353-8544,Wednesdays from 4:30 PM - 7:00 PM and Saturdays from 7:30 AM - 10:00 AM.,Clothing closet is closed. Pre-packed boxes passed out in the parking lot.,,,,,,44.000144308355935,-70.06036094532287
Food Pantry,Litchfield Food Bank,Kennebec,Litchfield,"491 Richmond Rd,
 Litchfield ME 04350",(207)557-2680,"Wednesdays 4:00 PM - 6:00 PM, Thursdays 10:00 AM - 12:00 PM.",Drive-thru model with pre-packed boxes. Proxy pick-up where neighbors/family members can pick up for others.,,,,,,44.13525894087949,-69.98099917055225
Food Pantry,Little River Church Food Pantry,Waldo,Belfast,"259 Northport Ave
 Belfast ME 04915",(207) 636-0206,3rd Thursday from 6:00 - 7:30 PM.,Drive-thru model with pre-packed boxes. Established a “proxy” pick-up where neighbors/family members can pick up for others.,https://www.facebook.com/littleriverchurch/?__tn__=%2Cd%2CP-R&eid=ARAQO9l8j_Mtx2Tby3zVGrE28G0S9CvwWic7R4fMSOi0Ss-CRtEagkM4FLwenlVMB1ceouj6VS1tHqly,,,,,44.39892018512322,-68.98731574897559
Food Pantry,Loaves and Fishes - Albion Food Pantry,Kennebec,Albion,"123 Benton Rd
 Albion ME 04910",(207)437-7123,"Monday, Wednesday, and Friday 9:30 AM - 11:00 AM. Open 5:00 PM - 7:00 PM on the 1st and 3rd Fridays of the month.",,,,,,,44.54008088871252,-69.44551513321603
Food Pantry,Loaves and Fishes Food Pantry,Hancock,Ellsworth,"119 Bucksport Road
 Ellsworth ME 04605",(207)667-4363,Wednesdays from 9:30 AM - 12:00 PM and 4:00 PM - 6:30 PM. Fridays from 9:30 AM - 12:00 PM. By appointment only. Drive up distributions.,"Drive thru-model with pre-packed boxes.
 Expanded hours to spread out the number of people at our site at once.",https://www.facebook.com/LoavesandFishespantry/,,,,,44.539180522072776,-68.43796183236194
Food Pantry,Loaves and Fishes Food Pantry - Sabattus,Androscoggin,Sabattus,"61 Lisbon Road
 Sabattus ME 04280",(207)375-8399,"Mondays, 1:00 PM- 2:00 PM, and Tuesdays and Wednesdays from 9:00 AM - 10:00 AM.",Pre-packed boxes with a bag of meat and a bag of fresh produce available for pick-up outside. Social Distancing and proper sanitizing are being practiced. No one is allowed in the pantry.,http://www.sabattusdominicans.org/ministries.php,,,,,44.108406,-70.11016700236593
Food Pantry,Lubec Community Outreach Center,Washington,Lubec,"44 South Street
 Lubec ME 04652",(207)733-5262,"3rd Wednesdays from 1:00 PM - 3:00 PM. Delivery by appointment, Wednesday through Saturday, to Lubec & Trescott. Walk ups will receive a prepackaged bag based on household size.","Hours expanded to spread out the number of people at our site at once. Created appointments to minimize community members’ contact with one another. Drive-thru model with pre-packed boxes. 
 Established a “proxy” pick-up where neighbors/family members can pick up for others. Distributions on Saturday after 3rd Wednesday cancelled as of 3/21/2020.",https://www.facebook.com/LubecOutreach.org/,,,,,44.855375123232726,-66.98866525659298
Food Pantry,Machias Food Pantry,Washington,Machias,"9 Center St
 Machias ME 04654",(207)255-6665,"Mondays, 2:00 PM - 6:00 PM. By appointment only with drive-up distribution.",Drive-thru model with pre-packed boxes,https://www.facebook.com/machiasfoodpantry/,,,,,44.71583116042469,-67.45806460032323
Food Pantry,Maine Mental Health Connections Food Pantry,Penobscot,Bangor,"2 Second Street
 Bangor ME 04401",(207)941-2907,"1st and 3rd Wednesdays of the month, 9:00 AM - 1:00 PM.",Temporarily Suspended Operations.,,,,,,44.79960600000001,-68.7743325
Meal Sites,Maine Mental Health Connections Soup Kitchen,Penobscot,Bangor,"2 Second Street
 Bangor ME 04401",(207)546-5870,"Mondays and Fridays, 12:00 PM - 1:30 PM.",Temporarily Suspended Operations.,,,,,,44.79960600000001,-68.7743325
Youth Programs,Maine Seacoast Mission - Edge,Washington,Cherryfield,"6 Weald Bethal Lane
 Cherryfield ME 04622",(207)288-5097,,,,,,,,44.59120636886143,-67.92793504884875
Food Pantry,Maine Seacoast Mission - Society,Washington,Cherryfield,"6 Weald Bethal Lane
 Cherryfield ME 04622",(207)288-5097,"Tuesdays, 9:15 AM - 12:00 PM and 3:00 PM - 5:00 PM. Thursdays, 9:15 AM - 12:00 PM. Prepared boxes will be brought out to patrons' cars. Please call to make an appointment. Until further notice, hours will be extended as needed.","Hours expanded to spread out the number of people at our site at once. Created appointments to minimize community members’ contact with one another. Drive-thru model with pre-packed boxes
 Established a “proxy” pick-up where neighbors/family members can pick up for others.",https://www.facebook.com/MEseacoastmission/,,,,,44.59120636886143,-67.92793504884875
Food Pantry,Mars Hill Community Cupboard,Aroostook,Mars Hill,"4 Aci Street
 Mars Hill ME 04758",(207)429-8043,"2nd Tuesday of the month from 1:00 PM -3:00 PM, and 4th Tuesday from 6:00 PM – 8:00 PM.","Clients are asked to wait in their car and given numbers to enter the pantry. 
  Volunteers will be wiping down areas after each person and wearing gloves.",,,,,,46.50951988758733,-67.87000119415423
Youth Programs,ME Children's Home for Little Wanderers,Kennebec,Waterville,"93 Silver St
 Waterville ME 04901",(207)873-4253,,,https://www.facebook.com/mechildrenshome/,,,,,44.545428000000015,-69.6379005
Food Pantry,Mid Coast Hunger Prevention Food Pantry,Cumberland,Brunswick,"12 Tenney Way
 Brunswick ME 04011",(207)725-2716,"Tuesdays from 11:00 AM - 2:00 PM, 4:00 PM - 6:00 PM. Wednesdays and Fridays from 11:00 AM - 2:00 PM. Saturdays from 12: 00 PM - 3:00 PM.","Drive-thru model with pre-packed boxes. Homebound delivery will continue. 
 Established a “proxy” pick-up where neighbors/family members can pick up for others.",https://www.facebook.com/MidCoastHungerPreventionProgram,,,,,43.91175005938039,-69.96780087977395
Meal Sites,Mid Coast Hunger Prevention Soup Kitchen,Cumberland,Brunswick,"12 Tenney Way
 Brunswick ME 04011",(207)725-2716,"Monday - Friday from 11:00 AM - 12:30 PM, and Saturday from 12:00 PM - 1:30 PM.",Lunches will be prepared to-go. Served from eastern entrance.,https://www.facebook.com/MidCoastHungerPreventionProgram,,,,,43.91175005938039,-69.96780087977395
Food Pantry,Monmouth United Church Food Pantry,Kennebec,Monmouth,"776 Main Street
 Monmouth ME 04259",(207)525-3256,Thursdays from 12:00 PM - 1:00 PM.,No clients allowed in the building. Special request taken at the door and boxes are carried to clients' cars.,https://www.facebook.com/UnitedChurchOfMonmouth/?rf=947407998656060,,,,,44.23986977546313,-70.03516967332222
